surveyId,speciesId,lat,lon,year,Elevation,label,source
1910,4638.0,54.91366,12.04873,2018,1.0,0,PA
1149,8208.0,55.70831,9.63799,2017,6.0,0,PA
2830,6574.0,56.18004,9.66595,2020,33.0,0,PA
662,5804.0,56.61571,9.74545,2018,10.0,0,PA
2384,6964.0,44.92491,2.13651,2017,657.0,0,PA
4414,8983.0,44.40611,4.17074,2019,142.0,0,PA
2231,254.0,55.50001,9.09074,2018,34.0,0,PA
769,4105.0,52.201625,5.858134,2020,41.0,0,PA
2482,10218.0,50.062853,17.244911,2021,1398.0,0,PA
3547,2025.0,55.68965,9.61588,2018,46.0,0,PA
3476,9669.0,51.681329,3.76813,2017,8.0,0,PA
3078,3935.0,46.61743,5.81338,2019,648.0,0,PA
2106,5386.0,56.35621,9.98822,2017,48.0,0,PA
769,10223.0,52.201625,5.858134,2020,41.0,0,PA
2844,981.0,47.78141,6.55778,2017,437.0,0,PA
2900,9030.0,56.44851,8.82778,2017,52.0,0,PA
3441,10520.0,56.95472,9.65658,2018,20.0,0,PA
324,3275.0,43.50563,-0.40259,2018,116.0,0,PA
1972,6079.0,43.567651,3.958843,2020,6.0,0,PA
729,3935.0,56.16033,8.45,2019,26.0,0,PA
1218,540.0,47.76724,2.71272,2018,138.0,0,PA
3129,1795.0,56.13054,10.20063,2017,27.0,0,PA
2641,433.0,51.69138,6.022647,2017,9.0,0,PA
3476,178.0,51.681329,3.76813,2017,8.0,0,PA
2808,3227.0,55.09262,12.09828,2019,6.0,0,PA
2673,4640.0,57.12556,10.23518,2020,11.0,0,PA
2900,6208.0,56.44851,8.82778,2017,52.0,0,PA
4211,4640.0,55.9631,10.52312,2019,8.0,0,PA
607,11193.0,57.69337,10.48874,2017,7.0,0,PA
3962,4105.0,55.85651,9.06332,2019,44.0,0,PA
1650,2474.0,42.749162,3.0315,2018,8.0,0,PA
4016,5071.0,56.5947,9.92038,2017,12.0,0,PA
2900,6964.0,56.44851,8.82778,2017,52.0,0,PA
1682,540.0,51.868129,5.9126,2019,12.0,0,PA
1573,6574.0,55.96872,11.37761,2018,4.0,0,PA
841,10385.0,55.75163,8.29263,2018,8.0,0,PA
1004,10274.0,51.663261,3.97967,2018,8.0,0,PA
2705,694.0,56.08675,9.53859,2018,105.0,0,PA
3078,10317.0,46.61743,5.81338,2019,648.0,0,PA
664,129.0,51.182415,6.128132,2017,51.0,0,PA
3078,254.0,46.61743,5.81338,2019,648.0,0,PA
2436,4758.0,57.33199,10.3653,2017,21.0,0,PA
729,2159.0,56.16033,8.45,2019,26.0,0,PA
3782,10247.0,51.577357,9.844233,2017,204.0,0,PA
1191,51.0,50.784923,15.725205,2018,797.0,0,PA
2641,6208.0,51.69138,6.022647,2017,9.0,0,PA
3740,9253.0,56.03506,12.40318,2019,17.0,0,PA
222,10317.0,56.91214,9.88456,2017,6.0,0,PA
3445,4640.0,55.88261,9.43741,2017,50.0,0,PA
4016,5542.0,56.5947,9.92038,2017,12.0,0,PA
4016,3722.0,56.5947,9.92038,2017,12.0,0,PA
1650,6964.0,42.749162,3.0315,2018,8.0,0,PA
1191,10385.0,50.784923,15.725205,2018,797.0,0,PA
4211,2885.0,55.9631,10.52312,2019,8.0,0,PA
3740,9030.0,56.03506,12.40318,2019,17.0,0,PA
590,1818.0,51.601834,5.028387,2017,7.0,0,PA
1386,10520.0,56.02082,9.1723,2019,46.0,0,PA
1981,9024.0,50.90085,4.07101,2019,8.0,0,PA
1218,4638.0,47.76724,2.71272,2018,138.0,0,PA
333,10904.0,45.80643,-0.51736,2017,84.0,0,PA
2599,694.0,37.96902,12.064775,2020,225.0,0,PA
1682,9028.0,51.868129,5.9126,2019,12.0,0,PA
2966,10317.0,55.42935,9.98204,2018,17.0,0,PA
1218,1092.0,47.76724,2.71272,2018,138.0,0,PA
970,11195.0,43.068574,-2.758823,2017,363.0,0,PA
3394,5542.0,57.51754,9.88012,2019,5.0,0,PA
4242,10385.0,55.11561,14.81145,2019,74.0,0,PA
2037,2921.0,56.07804,9.56194,2017,90.0,0,PA
2018,2386.0,55.26805,14.76155,2018,69.0,0,PA
3441,10274.0,56.95472,9.65658,2018,20.0,0,PA
2272,581.0,55.19056,9.61948,2019,3.0,0,PA
3441,178.0,56.95472,9.65658,2018,20.0,0,PA
489,10520.0,47.0117,12.44991,2018,1417.0,0,PA
4211,7957.0,55.9631,10.52312,2019,8.0,0,PA
2808,10223.0,55.09262,12.09828,2019,6.0,0,PA
4414,10218.0,44.40611,4.17074,2019,142.0,0,PA
2808,4530.0,55.09262,12.09828,2019,6.0,0,PA
3962,2885.0,55.85651,9.06332,2019,44.0,0,PA
1386,6788.0,56.02082,9.1723,2019,46.0,0,PA
2272,476.0,55.19056,9.61948,2019,3.0,0,PA
1149,6874.0,55.70831,9.63799,2017,6.0,0,PA
4242,5804.0,55.11561,14.81145,2019,74.0,0,PA
410,6788.0,47.21759,5.61448,2019,219.0,0,PA
1186,6331.0,52.03088,6.079629,2018,22.0,0,PA
607,10896.0,57.69337,10.48874,2017,7.0,0,PA
